"Name","Path","IsInBuild","IsDirectlyUsedInTemplates","IsIncludedByUsedSections","TemplateUsageCount","IncludedByCount","IsLikelyDeprecated","DeprecationReason","IsActuallyUsed"
"blog-filtered","src/liquid/sections/pages/blogs/blog-filtered.liquid","True","True","False","1","0","False","","True"
"blog","src/liquid/sections/pages/blogs/blog.liquid","True","True","False","1","0","False","","True"
"tip-hub","src/liquid/sections/pages/blogs/tip-hub.liquid","True","True","False","1","0","False","","True"
"article","src/liquid/sections/pages/blogs/articles/article.liquid","True","True","False","1","0","False","","True"
"careers-page","src/liquid/sections/pages/careers/careers-page.liquid","True","True","False","1","0","False","","True"
"collection-page","src/liquid/sections/pages/collections/collection-page.liquid","True","True","False","1","0","False","","True"
"collections-menu","src/liquid/sections/pages/collections/collections-menu.liquid","True","False","False","0","0","False","","False"
"collections","src/liquid/sections/pages/collections/collections.liquid","True","True","False","1","0","False","","True"
"community-page","src/liquid/sections/pages/community/community-page.liquid","True","True","False","1","0","False","","True"
"curalin-capsule-benefits","src/liquid/sections/pages/curalin/curalin-capsule-benefits.liquid","True","True","False","1","0","False","","True"
"glucose-support","src/liquid/sections/pages/curalin/glucose-support.liquid","True","False","False","0","0","False","","False"
"health-page-glucome","src/liquid/sections/pages/digital-health/health-page-glucome.liquid","True","False","False","0","0","False","","False"
"health-page-one-glucometer","src/liquid/sections/pages/digital-health/health-page-one-glucometer.liquid","True","False","False","0","0","False","","False"
"health-page-three-ai","src/liquid/sections/pages/digital-health/health-page-three-ai.liquid","True","False","False","0","0","False","","False"
"health-page-two-meet","src/liquid/sections/pages/digital-health/health-page-two-meet.liquid","True","False","False","0","0","False","","False"
"health-page","src/liquid/sections/pages/digital-health/health-page.liquid","True","False","False","0","0","False","","False"
"ingredients-benefits-capsule","src/liquid/sections/pages/homepage/ingredients-benefits-capsule.liquid","True","False","False","0","0","False","","False"
"onboarding-order-delivered","src/liquid/sections/pages/onboarding/onboarding-order-delivered.liquid","True","True","False","1","0","False","","True"
"onboarding-thank-you","src/liquid/sections/pages/onboarding/onboarding-thank-you.liquid","True","True","False","1","0","False","","True"
"our-story-curalife","src/liquid/sections/pages/our-story/our-story-curalife.liquid","True","True","False","1","0","False","","True"
"hubspot-lead-form-section","src/liquid/sections/pages/partnerships/hubspot-lead-form-section.liquid","True","True","False","1","0","False","","True"
"product-page-curaeats","src/liquid/sections/pages/product/product-page-curaeats.liquid","True","True","False","1","0","False","","True"
"product-page-curalin","src/liquid/sections/pages/product/product-page-curalin.liquid","True","True","False","11","0","False","","True"
"product-page","src/liquid/sections/pages/product/product-page.liquid","True","True","False","6","0","False","","True"
"supplement-info-2","src/liquid/sections/pages/product/supplement-info-2.liquid","True","True","False","3","0","False","","True"
"supplement-info","src/liquid/sections/pages/product/supplement-info.liquid","True","True","False","5","0","False","","True"
"science-page","src/liquid/sections/pages/science/science-page.liquid","True","False","False","0","0","False","","False"
"science-supplement","src/liquid/sections/pages/science/science-supplement.liquid","True","True","False","1","0","False","","True"
"vsl-ingredients","src/liquid/sections/pages/vsl-lp/vsl-ingredients.liquid","True","True","False","2","0","False","","True"
"buy-box-section","src/liquid/sections/products/buy-box-section.liquid","True","True","False","10","0","False","","True"
"hero-buy-box","src/liquid/sections/products/hero-buy-box.liquid","True","True","False","3","0","False","","True"
"page-cta-section","src/liquid/sections/products/page-cta-section.liquid","True","True","False","18","0","False","","True"
"product-cta-section","src/liquid/sections/products/product-cta-section.liquid","True","True","False","10","0","False","","True"
"cookbook","src/liquid/sections/projects/cookbook.liquid","True","True","False","1","0","False","","True"
"curaslim-quiz-results-v2","src/liquid/sections/projects/curaslim-quiz-results-v2.liquid","True","True","False","1","0","True","Naming suggests it's an older version that has been replaced","True"
"curaslim-quiz-results","src/liquid/sections/projects/curaslim-quiz-results.liquid","True","True","False","1","0","False","","True"
"aio-first-page-flash","src/liquid/sections/projects/aio/aio-first-page-flash.liquid","True","False","False","0","0","False","","False"
"aio-first-page-no-index","src/liquid/sections/projects/aio/aio-first-page-no-index.liquid","True","False","False","0","0","False","","False"
"aio-first-page","src/liquid/sections/projects/aio/aio-first-page.liquid","True","True","False","7","0","False","","True"
"aio-natural-ingredients","src/liquid/sections/projects/aio/aio-natural-ingredients.liquid","True","True","False","3","0","False","","True"
"aio-why-curalin","src/liquid/sections/projects/aio/aio-why-curalin.liquid","True","True","False","3","0","False","","True"
"clinically-tested-section","src/liquid/sections/projects/aio/clinically-tested-section.liquid","True","True","False","1","0","False","","True"
"contact-us-section-aio","src/liquid/sections/projects/aio/contact-us-section-aio.liquid","True","True","False","2","0","False","","True"
"life-changes-video","src/liquid/sections/projects/aio/life-changes-video.liquid","True","True","False","4","0","False","","True"
"meet-curalin-section","src/liquid/sections/projects/aio/meet-curalin-section.liquid","True","True","False","5","0","False","","True"
"product-aio","src/liquid/sections/projects/aio/product-aio.liquid","True","True","False","1","0","False","","True"
"wholesale-products","src/liquid/sections/projects/b2b/wholesale-products.liquid","True","False","False","0","0","False","","False"
"curaslim-2024-capsule-animation","src/liquid/sections/projects/curaslim-2024/curaslim-2024-capsule-animation.liquid","True","True","False","2","0","True","Contains year 2024 in the name, may be from a previous campaign","True"
"curaslim-2024-hero","src/liquid/sections/projects/curaslim-2024/curaslim-2024-hero.liquid","True","True","False","2","0","True","Contains year 2024 in the name, may be from a previous campaign","True"
"curaslim-calculator","src/liquid/sections/projects/curaslim-2024/curaslim-calculator.liquid","True","True","False","2","0","False","","True"
"curaslim-results-widget","src/liquid/sections/projects/curaslim-2024/curaslim-results-widget.liquid","True","True","False","2","0","False","","True"
